condition|pulmonary|transplant|year_verification
cat allergy|N|N|Both
cataract surgery|N|N|New only
central nervous system tumors|N|N|Both
cervical pain|N|N|New only
childhood nasal type extranodal nk/t-cell lymphoma|N|N|New only
chronic obstructive airway disease|Y|N|New only
clear-cell metastatic renal cell carcinoma|N|N|New only
cll|N|N|Both
contiguous stage ii grade 1 follicular lymphoma|N|N|Both
contiguous stage ii grade 2 follicular lymphoma|N|N|Both
contiguous stage ii grade 3 follicular lymphoma|N|N|Both
cystoid macular edema|N|N|New only
delinquency|N|N|New only
drug interaction potentiation|N|N|New only
dyslipidaemia|N|N|Both
early stage breast cancer|N|N|New only
eating behavior|N|N|New only
excessive daytime sleepiness|Y|N|Both
fallopian tube clear cell adenocarcinoma|N|N|New only
frozen shoulder|N|N|New only
glucose metabolism|N|N|Both
graves' disease|N|N|New only
gulf war illness|N|N|New only
healthy infants|N|N|New only
healthy males|N|N|Both
hemorrhagic shock|Y|N|New only
hepatocellular carcinoma (hcc)|N|N|New only
hereditary hemorrhagic telangiectasia|N|N|New only
hypercholesterolaemia|N|N|New only
impacted third molar tooth|N|N|New only
inactivity|N|N|Both
irritable bowel syndrome (ibs)|N|N|New only
lateral canthal lines|N|N|Both
lennox-gastaut syndrome|N|N|New only
locally advanced rectal cancer|N|N|New only
lung carcinoma|N|N|New only
lung neoplasm|N|N|New only
lymphoid malignancies|N|N|New only
major abdominal surgery|N|N|Both
male circumcision|N|N|New only
medical oncology|N|N|New only
mental disorder|N|N|New only
metabolic acidosis|N|N|New only
multiple myeloma in relapse|N|N|New only
nasal congestion|N|N|Both
neisseria meningitidis|N|N|New only
neoplasm metastases|N|N|New only
neuromuscular block|N|N|New only
obstructive sleep apnoea|Y|N|New only
other surgical procedures|N|N|New only
paroxysmal nocturnal hemoglobinuria|N|N|Both
pediatric|N|N|Both
peripheral arterial diseases|N|N|New only
physiological stress|N|N|New only
plasma cell leukemia|N|N|New only
post-traumatic stress disorder (ptsd)|N|N|New only
primary peritoneal cavity cancer|N|N|New only
primary progressive multiple sclerosis|N|N|New only
prostatic cancer|N|N|New only
rectum cancer|N|N|New only
recurrent b-cell non-hodgkin lymphoma|N|N|New only
recurrent colorectal carcinoma|N|N|New only
recurrent metastatic squamous neck cancer with occult primary|N|N|New only
recurrent small cell lung cancer|N|N|New only
refractory acute myeloid leukemia|N|N|New only
respiratory syncytial virus (rsv)|N|N|New only
restless leg syndrome|N|N|New only
spinal metastases|N|N|New only
stage i cutaneous t-cell non-hodgkin lymphoma|N|N|Both
stage ii cutaneous t-cell non-hodgkin lymphoma|N|N|Both
stage iia cervical cancer|N|N|New only
stage iia rectal cancer|N|N|New only
stage iib rectal cancer|N|N|New only
stage iic rectal cancer|N|N|New only
stage iii squamous cell carcinoma of the nasopharynx|N|N|New only
stage iiia gastric cancer|N|N|New only
stage iiia non-small cell lung cancer ajcc v7|N|N|New only
stage iiia uterine corpus cancer|N|N|New only
stage iiib uterine corpus cancer|N|N|New only
stage iv colorectal cancer|N|N|New only
stage iv squamous cell carcinoma of the lip and oral cavity|N|N|New only
stage iv squamous cell carcinoma of the oropharynx|N|N|New only
thyroid carcinoma|N|N|Both
transitional cell carcinoma of the bladder|N|N|New only
trigger finger|N|N|New only
ulcers|N|N|Both
upper respiratory tract infection|Y|N|Both
urge urinary incontinence|N|N|New only
vertebral fracture|N|N|Both
weakness|N|N|New only
acute coronary syndrome (acs)|N|N|New only
adenocarcinoma of the stomach|N|N|New only
adult anaplastic ependymoma|N|N|New only
adult diffuse astrocytoma|N|N|New only
adult oligodendroglioma|N|N|New only
advanced or metastatic solid tumors|N|N|Both
al amyloidosis|N|N|New only
alkylating agent-related acute myeloid leukemia|N|N|New only
alteration of cognitive function|N|N|New only
amd|N|N|New only
ametropia|N|N|New only
angioplasty, transluminal, percutaneous coronary|N|N|New only
asperger's disorder|N|N|Both
aspiration|Y|N|New only
atopic asthma|Y|N|Both
b cell lymphoma|N|N|New only
body dysmorphic disorder|N|N|Both
cancer of the head and neck|N|N|New only
carcinoma, non small cell lung|N|N|Both
cardiac arrhythmias|N|N|New only
cervical degenerative disc disease|N|N|Both
childhood asthma|Y|N|New only
chronic respiratory failure|Y|N|New only
chronic thromboembolic pulmonary hypertension|Y|N|New only
chronic tinnitus|N|N|New only
colon neoplasms|N|N|New only
contiguous stage ii adult burkitt lymphoma|N|N|Both
contiguous stage ii adult lymphoblastic lymphoma|N|N|Both
contiguous stage ii marginal zone lymphoma|N|N|Both
degenerative spondylolisthesis|N|N|Both
diabetic peripheral neuropathic pain|N|N|New only
diarrhea predominant irritable bowel syndrome|N|N|New only
diffuse large cell lymphoma|N|N|New only
ds stage ii plasma cell myeloma|N|N|New only
end stage renal failure|N|N|New only
extrahepatic bile duct cancer|N|N|Both
fallopian tube transitional cell carcinoma|N|N|New only
food selection|N|N|New only
fragility|N|N|New only
gastric carcinoma|N|N|New only
gastroesophageal cancer|N|N|New only
gastrointestinal bleeding|N|N|New only
gastrointestinal stromal tumor (gist)|N|N|Both
genetic disorder|N|N|New only
h. pylori infection|N|N|New only
head and neck carcinoma|N|N|New only
hemorrhagic stroke|N|N|New only
hip arthroplasty|N|N|Both
hiv positive|N|N|New only
hiv-1 infections|N|N|Both
hodgkins lymphoma|N|N|New only
hookworm infection|N|N|New only
hot flushes|N|N|New only
inflammatory bowel disease (ibd)|N|N|New only
insomnia disorder|N|N|New only
invasive ductal breast carcinoma|N|N|New only
ischemia reperfusion injury|N|N|Both
joint pain|N|N|New only
knee arthritis|N|N|New only
knee injury|N|N|Both
leukemia, lymphoblastic, acute|N|N|Both
locally advanced pancreatic cancer|N|N|Both
lung metastases|N|N|New only
lymphatic filariasis|N|N|New only
malignant ascites|N|N|Both
maternal depression|N|N|New only
metastatic osteosarcoma|N|N|New only
metastatic squamous neck cancer with occult primary squamous cell carcinoma|N|N|New only
migraine headaches|N|N|Both
mixed dyslipidemia|N|N|New only
mucinous adenocarcinoma of the colon|N|N|New only
muscle atrophy|N|N|New only
musculoskeletal complications|N|N|Both
myopathy|N|N|New only
neurogenic detrusor overactivity|N|N|Both
non small cell lung carcinoma|N|N|Both
non-alcoholic fatty liver disease (nafld)|N|N|New only
nonalcoholic steatohepatitis (nash)|N|N|New only
nosocomial infection|N|N|New only
oral health|N|N|New only
ovarian brenner tumor|N|N|New only
ovarian transitional cell carcinoma|N|N|New only
pancreas neoplasms|N|N|New only
pancreatic tumor|N|N|New only
pandemic influenza|N|N|Both
partial onset seizures|N|N|Both
peyronie's disease|N|N|New only
plaque|N|N|New only
pneumococcal infection|N|N|New only
ponv|N|N|New only
post-essential thrombocythemia myelofibrosis|N|N|New only
postoperative complication|N|N|New only
postoperative vomiting|N|N|New only
pregnant women|N|N|New only
procedural sedation|N|N|Both
psychotic disorder|N|N|New only
pulmonary complications|Y|N|New only
recurrent primary peritoneal cavity cancer|N|N|New only
recurrent respiratory papillomatosis|Y|N|New only
recurrent thyroid gland carcinoma|N|N|New only
reflux esophagitis|N|N|New only
refractory b-cell non-hodgkin lymphoma|N|N|New only
refractory epilepsy|N|N|New only
renal function|N|N|New only
retinal disease|N|N|New only
risk reduction|N|N|New only
scarring|N|N|New only
seizure|N|N|New only
self-efficacy|N|N|New only
shigellosis|N|N|New only
signet ring adenocarcinoma of the colon|N|N|New only
sjgren's syndrome|N|N|New only
skin irritation|N|N|New only
sleep disturbances|N|N|New only
social cognition|N|N|New only
spontaneous bacterial peritonitis|N|N|New only
squamous cell carcinoma of head and neck|N|N|New only
stage i adult burkitt lymphoma|N|N|Both
stage i adult lymphoblastic lymphoma|N|N|Both
stage i marginal zone lymphoma|N|N|Both
stage ii squamous cell carcinoma of the lip and oral cavity|N|N|New only
stage iia ovarian cancer|N|N|New only
stage iib cervical cancer|N|N|New only
stage iib ovarian cancer|N|N|New only
stage iic ovarian cancer|N|N|New only
stage iii bladder cancer|N|N|New only
stage iii colon cancer|N|N|New only
stage iii melanoma|N|N|New only
stage iiib cervical cancer|N|N|New only
stage iiib non-small cell lung cancer ajcc v7|N|N|New only
stage iva oropharyngeal squamous cell carcinoma|N|N|New only
stage ivb uterine corpus cancer|N|N|New only
stage ivc squamous cell carcinoma of the oropharynx|N|N|New only
stage ivc verrucous carcinoma of the oral cavity|N|N|New only
staphylococcus aureus|N|N|Both
stress disorders|N|N|New only
systemic scleroderma|N|N|New only
temporomandibular disorder|N|N|New only
thymic carcinoma|N|N|Both
to determine bioequivalence under fasting conditions|N|N|Both
tourette's disorder|N|N|New only
type i diabetes|N|N|New only
undifferentiated fallopian tube carcinoma|N|N|New only
uremic pruritus|N|N|New only
uterine cervical cancer|N|N|New only
viral infection|N|N|New only
visual impairment|N|N|New only
vitamin d status|N|N|Both
vulvovaginal atrophy|N|N|New only
well-being|N|N|New only
abortion|N|N|New only
acute asthma|Y|N|Both
acute biphenotypic leukemia|N|N|New only
acute cholecystitis|N|N|New only
acute myeloid leukemia in remission|N|N|New only
acute otitis externa|N|N|New only
acute undifferentiated leukemia|N|N|New only
adult acute myeloid leukemia with inv(16)(p13.1q22); cbfb-myh11|N|N|New only
adult acute myeloid leukemia with t(16;16)(p13.1;q22); cbfb-myh11|N|N|New only
adult b acute lymphoblastic leukemia|N|N|New only
adult brain stem glioma|N|N|New only
adult hepatocellular carcinoma|N|N|New only
adult rhabdomyosarcoma|N|N|New only
adverse reaction to drug|N|N|New only
alcoholic liver disease|N|N|New only
alzheimers disease|N|N|New only
anesthesia; reaction|N|N|New only
anterior cruciate ligament rupture|N|N|New only
apnea of prematurity|Y|N|New only
athletic performance|N|N|New only
autism spectrum disorder (asd)|N|N|New only
behavior problems|N|N|Both
bipolar disorders|N|N|New only
birth asphyxia|N|N|New only
blood and marrow transplantation|N|N|New only
cardiopulmonary arrest|Y|N|New only
cardiovascular health|N|N|New only
castration resistant prostate cancer|N|N|New only
chronic hcv infection|N|N|New only
chronic hepatitis|N|N|New only
chronic inflammatory demyelinating polyneuropathy|N|N|New only
chronic myelogenous leukemia, bcr-abl1 positive|N|N|New only
circulating tumor cells|N|N|New only
cognitive performance|N|N|New only
colonoscopy preparation|N|N|New only
colorectal adenoma|N|N|New only
contact dermatitis|N|N|Both
contiguous stage ii adult diffuse mixed cell lymphoma|N|N|Both
contiguous stage ii adult diffuse small cleaved cell lymphoma|N|N|Both
contiguous stage ii adult immunoblastic large cell lymphoma|N|N|Both
contraceptive usage|N|N|New only
corneal ectasia|N|N|Both
de novo myelodysplastic syndrome|N|N|New only
decompensated cirrhosis|N|N|New only
dengue virus|N|N|New only
dentine hypersensitivity|N|N|New only
dexmedetomidine|N|N|New only
diabetes mellitus type ii|N|N|New only
diabetes mellitus, type i|N|N|Both
diabetes, type 2|N|N|New only
difficult intubation|Y|N|New only
distorted; balance|N|N|New only
dry mouth|N|N|New only
ds stage i plasma cell myeloma|N|N|New only
ds stage iii plasma cell myeloma|N|N|New only
duchenne muscular dystrophy (dmd)|N|N|New only
early-stage breast carcinoma|N|N|New only
esophageal neoplasm|N|N|New only
esophageal varices|N|N|Both
falciparum malaria|N|N|Both
fallopian tube endometrioid adenocarcinoma|N|N|New only
fibroids|N|N|New only
flu|N|N|New only
fluid overload|N|N|New only
fungal infections|N|N|New only
gastrointestinal disease|N|N|Both
glabellar lines|N|N|New only
glycemic response|N|N|New only
gvhd|N|N|New only
hazardous drinking|N|N|New only
health literacy|N|N|New only
hepatitis b virus|N|N|Both
homozygous familial hypercholesterolemia|N|N|New only
hormone-refractory prostate cancer|N|N|Both
human immunodeficiency virus infection|N|N|New only
human papilloma virus infection|N|N|New only
hunter syndrome|N|N|New only
idiopathic membranous nephropathy|N|N|Both
idiopathic scoliosis|N|N|New only
implant|N|N|New only
infantile spasms|N|N|New only
infection; cesarean section|N|N|New only
infections, rotavirus|N|N|New only
infective endocarditis|N|N|Both
inflammatory arthritis|N|N|New only
influenza infection|N|N|Both
invasive candidiasis|N|N|Both
irritable bowel syndrome with diarrhea|N|N|New only
ischemia-reperfusion injury|N|N|New only
kidney failure, acute|N|N|New only
knee pain|N|N|Both
lack of satiety|N|N|New only
leg ulcers|N|N|New only
lower respiratory tract infection|Y|N|New only
lumbar degenerative disc disease|N|N|Both
lung cancer, non-small cell|N|N|New only
lymphoblastic leukemia, acute, childhood|N|N|New only
malignant lymphoma|N|N|New only
malignant mesothelioma|N|N|Both
marginal zone b-cell lymphoma|N|N|New only
mechanical low back pain|N|N|New only
mental health disorder|N|N|New only
mesenchymal stem cells|N|N|New only
microalbuminuria|N|N|New only
myofascial pain|N|N|New only
neonatal mortality|N|N|New only
neurofibromatosis type 2|N|N|New only
non-melanoma skin cancer|N|N|New only
nonneoplastic condition|N|N|Both
normal pressure hydrocephalus|N|N|Both
nstemi|N|N|New only
observation of neuromuscular block|N|N|New only
ocular inflammation|N|N|Both
orthopedic disorders|N|N|New only
ototoxicity|N|N|New only
ovarian epithelial cancer recurrent|N|N|New only
pancreatic polypeptide tumor|N|N|New only
patent foramen ovale|N|N|New only
patient adherence|N|N|New only
pediculosis|N|N|Both
peripheral nerve injury|N|N|New only
persistent asthma|Y|N|New only
photoaging|N|N|New only
physical function|N|N|Both
plaque-type psoriasis|N|N|Both
plasma cell neoplasm|N|N|New only
plasmodium falciparum infection|N|N|New only
polyneuropathy|N|N|Both
polyp|N|N|New only
postmenopausal symptoms|N|N|New only
postmenopausal women|N|N|Both
postoperative pain management|N|N|New only
postoperative; dysfunction following cardiac surgery|N|N|New only
prader willi syndrome|N|N|New only
primary immunodeficiency|N|N|New only
pseudomonas aeruginosa|N|N|Both
radiographic contrast agent nephropathy|N|N|New only
raynaud's phenomenon|N|N|New only
recurrent bladder carcinoma|N|N|New only
recurrent brain neoplasm|N|N|New only
recurrent childhood brain stem glioma|N|N|New only
recurrent childhood cerebellar astrocytoma|N|N|New only
recurrent childhood cerebral astrocytoma|N|N|New only
recurrent childhood visual pathway glioma|N|N|New only
recurrent ewing sarcoma/peripheral primitive neuroectodermal tumor|N|N|New only
recurrent glioblastoma multiforme|N|N|New only
recurrent head and neck carcinoma|N|N|New only
recurrent squamous cell lung carcinoma|N|N|New only
refractory follicular lymphoma|N|N|New only
respiratory distress syndrome in premature infants|Y|N|New only
rotator cuff injury|N|N|New only
scalp psoriasis|N|N|New only
schizophrenic disorders|N|N|Both
seborrheic dermatitis|N|N|Both
short stature|N|N|New only
shoulder surgery|N|N|New only
solid tumour|N|N|New only
spine surgery|N|N|New only
stable coronary artery disease|N|N|Both
stage i adult diffuse mixed cell lymphoma|N|N|Both
stage i adult diffuse small cleaved cell lymphoma|N|N|Both
stage i adult immunoblastic large cell lymphoma|N|N|Both
stage i squamous cell carcinoma of the lip and oral cavity|N|N|New only
stage ii adult hodgkin lymphoma|N|N|New only
stage ii verrucous carcinoma of the oral cavity|N|N|New only
stage iib non-small cell lung carcinoma|N|N|New only
stage iii adult t-cell leukemia/lymphoma|N|N|New only
stage iiia melanoma|N|N|New only
stage iiic uterine corpus cancer|N|N|New only
stage iv adult t-cell leukemia/lymphoma|N|N|New only
stage iv bladder cancer|N|N|New only
stage iv esophageal cancer|N|N|New only
stage iv pancreatic cancer ajcc v6 and v7|N|N|New only
stage iv squamous cell carcinoma of the larynx|N|N|New only
stage iv squamous cell lung carcinoma|N|N|New only
stage iv uveal melanoma|N|N|New only
stage iv verrucous carcinoma of the larynx|N|N|New only
stage iv verrucous carcinoma of the oral cavity|N|N|New only
stage ivc squamous cell carcinoma of the larynx|N|N|New only
stage ivc squamous cell carcinoma of the lip and oral cavity|N|N|New only
stage ivc verrucous carcinoma of the larynx|N|N|New only
sunscreen agents|N|N|New only
systemic inflammation|N|N|New only
systemic lupus erythematosus (sle)|N|N|Both
tia|N|N|New only
transplant; failure, kidney|Y|Y|New only
transplantation infection|Y|Y|New only
upper gastrointestinal bleeding|N|N|New only
upper respiratory infections|N|N|New only
uterine atony|N|N|New only
vaginal dryness|N|N|New only
vaginal infection|N|N|New only
venous stasis ulcers|N|N|Both
venous ulcers|N|N|New only
ventilation|Y|N|New only
vitamin b12 deficiency|N|N|New only
acute bronchitis|Y|N|New only
acute diarrhea|N|N|New only
acute myelocytic leukemia|N|N|New only
acute on chronic liver failure|N|N|New only
acute st segment elevation myocardial infarction|N|N|New only
adenocarcinoma of the colon|N|N|New only
adenocarcinoma of the esophagus|N|N|New only
adenomatous polyp|N|N|New only
adhesions|N|N|Both
adjustment disorder|N|N|New only
advanced pancreatic cancer|N|N|New only
age-related cognitive decline|N|N|New only
alzheimer's disease (ad)|N|N|New only
amnestic mild cognitive impairment|N|N|Both
amphetamine dependence|N|N|New only
anemia of chronic kidney disease|N|N|New only
anterior uveitis|N|N|New only
aortic dissection|N|N|New only
aortic valve disorder|N|N|New only
arterial occlusive disease|N|N|Both
atrial septal defect|N|N|New only
atypical chronic myeloid leukemia, bcr-abl1 negative|N|N|New only
binge eating|N|N|New only
bone cancer|N|N|New only
cancer-related fatigue|N|N|Both
cannabis abuse|N|N|New only
carcinoid syndrome|N|N|Both
cardiac toxicity|N|N|Both
cardiogenic shock|Y|N|New only
caregivers|N|N|New only
cartilage injury|N|N|New only
castration levels of testosterone|N|N|New only
cd20 positive|N|N|New only
childhood burkitt lymphoma|N|N|New only
childhood solid neoplasm|N|N|New only
chronic cluster headache|N|N|New only
chronic lung disease|Y|N|New only
chronic neck pain|N|N|Both
cognition - other|N|N|New only
cognitive impairments|N|N|New only
colonic cancer|N|N|New only
colorectal adenomas|N|N|New only
colorectal disorders|N|N|New only
complicated intra-abdominal infection|N|N|New only
complication of hemodialysis|N|N|New only
complication of surgical procedure|N|N|New only
connective tissue disease|N|N|Both
coxarthrosis|N|N|New only
crohns disease|N|N|Both
depressive disorders|N|N|New only
developmental coordination disorder|N|N|New only
diabetes type 1|N|N|New only
diamond-blackfan anemia|N|N|New only
differentiated thyroid cancer|N|N|New only
disseminated neuroblastoma|N|N|New only
drug interaction|N|N|New only
drug usage|N|N|New only
elderly patients|N|N|New only
emergency|N|N|New only
endometrial undifferentiated carcinoma|N|N|New only
energy expenditure|N|N|Both
eye disease|N|N|New only
failed induction of labor|N|N|New only
feeding behaviors|N|N|New only
full thickness rotator cuff tear|N|N|New only
functional mitral regurgitation|N|N|New only
gait, unsteady|N|N|New only
gastric intestinal metaplasia|N|N|New only
genital herpes|N|N|New only
germ cell tumors|N|N|New only
gut microbiota|N|N|New only
haemophilia a with inhibitors|N|N|New only
haemophilia b with inhibitors|N|N|New only
head trauma|N|N|New only
healthy older adults|N|N|New only
healthy volunteer study|N|N|New only
heavy drinking|N|N|New only
helicobacter infection|N|N|New only
hematopoietic and lymphoid cell neoplasm|N|N|New only
hemodialysis patients|N|N|New only
hereditary angioedema (hae)|N|N|New only
heterozygous familial hypercholesterolemia|N|N|New only
hilar cholangiocarcinoma|N|N|New only
hiv-infection/aids|N|N|New only
hypercapnic respiratory failure|N|N|New only
hypoglycemia unawareness|N|N|New only
ibd|N|N|New only
idiopathic parkinson disease|N|N|New only
idiopathic pulmonary arterial hypertension|Y|N|New only
idiopathic short stature|N|N|New only
immunodeficiencies|N|N|Both
inborn errors of metabolism|N|N|Both
indolent non-hodgkin lymphoma|N|N|New only
induced abortion|N|N|Both
insulin|N|N|New only
intrauterine growth retardation|N|N|Both
irritability|N|N|New only
joint disease|N|N|New only
kidney stone|N|N|New only
kidney transplant recipients|Y|Y|New only
knee|N|N|New only
labor induction|N|N|New only
leukaemia, lymphocytic, chronic|N|N|New only
leukemia, myelocytic, acute|N|N|New only
limbal stem cell deficiency|N|N|New only
liver tumors|N|N|Both
long-term effects secondary to cancer therapy in adults|N|N|Both
lymphoma, malignant|N|N|New only
major depressive disorders|N|N|New only
malaria in pregnancy|N|N|Both
male hypogonadism|N|N|New only
malignant gliomas|N|N|Both
malignant neoplasm of stomach|N|N|New only
malignant neoplasms of female genital organs|N|N|New only
mast cell leukemia|N|N|New only
maternal health|N|N|New only
mature t-cell and nk-cell non-hodgkin lymphoma|N|N|New only
medication overuse headache|N|N|New only
medullary thyroid cancer|N|N|New only
menopausal syndrome|N|N|New only
mental retardation|N|N|New only
metastatic gastric cancer|N|N|New only
minimal residual disease|N|N|New only
minimally conscious state|N|N|New only
missing teeth|N|N|New only
moderate or severe submental fullness|N|N|New only
morphine|N|N|New only
multimorbidity|N|N|New only
multiple sclerosis, primary progressive|N|N|New only
myeloid leukemia|N|N|New only
neoplasms, colorectal|N|N|Both
neovascular glaucoma|N|N|New only
neurofibromatosis|N|N|New only
nightmares|N|N|New only
no evidence of disease|N|N|New only
noise-induced hearing loss|N|N|New only
non-small cell lung cancer stage iiib|N|N|New only
ocular physiology|N|N|Both
oncology patients|N|N|New only
opioid abuse|N|N|Both
opioid dependency|N|N|Both
oral contraceptive|N|N|Both
osteoarthritis of hip|N|N|New only
other acute postoperative pain|N|N|New only
out of hospital cardiac arrest|Y|N|New only
ovarian cyst|N|N|New only
ovarian mucinous adenocarcinoma|N|N|New only
ovarian stimulation|N|N|Both
overactive bladder syndrome|N|N|Both
pancreatic neuroendocrine tumors|N|N|New only
papillary thyroid cancer|N|N|New only
parkinsons disease|N|N|New only
patient fall|N|N|New only
peripheral arterial disease (pad)|N|N|Both
pervasive developmental disorder|N|N|New only
pharmacokinetics of mirabegron|N|N|New only
physiology|N|N|New only
pneumococcal disease|Y|N|Both
pneumococcal vaccines|N|N|New only
polycystic ovary syndrome (pcos)|N|N|New only
post-herpetic neuralgia|N|N|New only
posterior capsule opacification|N|N|New only
posterior uveitis|N|N|New only
postoperative nausea|N|N|New only
previously treated childhood rhabdomyosarcoma|N|N|New only
primary care|N|N|New only
primary hypertension|N|N|New only
primary sjgren's syndrome|N|N|New only
primary systemic amyloidosis|N|N|New only
progressive keratoconus|N|N|Both
progressive multiple sclerosis|N|N|New only
recurrent cervical cancer|N|N|New only
recurrent childhood ependymoma|N|N|New only
recurrent childhood pineoblastoma|N|N|New only
recurrent childhood rhabdomyosarcoma|N|N|New only
recurrent chronic myelogenous leukemia, bcr-abl1 positive|N|N|New only
recurrent colon carcinoma|N|N|New only
recurrent hepatocellular carcinoma|N|N|New only
recurrent islet cell carcinoma|N|N|New only
recurrent miscarriage|N|N|New only
recurrent pregnancy loss|N|N|New only
recurrent small cell lung carcinoma|N|N|New only
recurrent uterine sarcoma|N|N|New only
reflux|N|N|New only
refractory small lymphocytic lymphoma|N|N|New only
relapsed multiple myeloma|N|N|Both
respiratory distress|Y|N|New only
respiratory syncytial virus|N|N|New only
scar prevention|N|N|Both
screening|N|N|New only
shoulder arthroscopy|N|N|New only
sleep problems|N|N|New only
small cell lung cancer (sclc)|N|N|New only
small intestine cancer|N|N|Both
smokers|N|N|Both
stage 0 chronic lymphocytic leukemia|N|N|New only
stage i adult hodgkin lymphoma|N|N|New only
stage i verrucous carcinoma of the oral cavity|N|N|New only
stage ia pancreatic cancer|N|N|New only
stage ib cervical cancer|N|N|New only
stage ib pancreatic cancer|N|N|New only
stage ii prostate adenocarcinoma|N|N|New only
stage ii renal cell cancer|N|N|New only
stage iia non-small cell lung carcinoma|N|N|New only
stage iii cervical cancer|N|N|New only
stage iii cutaneous melanoma ajcc v7|N|N|New only
stage iii mycosis fungoides/sezary syndrome|N|N|Both
stage iii non-small cell lung cancer|N|N|New only
stage iii oropharyngeal squamous cell carcinoma|N|N|New only
stage iii pancreatic cancer ajcc v6 and v7|N|N|New only
stage iii prostate adenocarcinoma|N|N|New only
stage iv mycosis fungoides/sezary syndrome|N|N|Both
stage iva salivary gland cancer|N|N|New only
stage ivb salivary gland cancer|N|N|New only
stage ivc salivary gland cancer|N|N|New only
staphylococcal infection|N|N|New only
steatohepatitis|N|N|New only
subarachnoid hemorrhage, aneurysmal|N|N|New only
substance related disorders|N|N|New only
sudden cardiac arrest|N|N|New only
superficial bladder cancer|N|N|New only
t-cell adult acute lymphoblastic leukemia|N|N|New only
tbi (traumatic brain injury)|N|N|New only
tracheal intubation morbidity|Y|N|New only
tranexamic acid|N|N|New only
tricuspid regurgitation|Y|N|New only
umbilical hernia|N|N|Both
unresectable pancreatic cancer|N|N|New only
untreated childhood acute lymphoblastic leukemia|N|N|New only
vaso-occlusive crisis|N|N|New only
very low birth weight infants|N|N|New only
vestibulodynia|N|N|New only
vitamin d insufficiency|N|N|New only
weaning failure|N|N|New only
wound complications|N|N|New only
x-linked hypophosphatemia|N|N|New only
abdominal hysterectomy (& wertheim)|N|N|New only
achilles tendinopathy|N|N|New only
acquired immune deficiency syndrome|N|N|Both
acute spinal cord injury|N|N|New only
adenocarcinoma of prostate|N|N|New only
adenovirus infection|N|N|New only
adolescent|N|N|New only
adult acute monoblastic leukemia|N|N|New only
adult acute monocytic leukemia|N|N|New only
adult acute myeloid leukemia without maturation|N|N|New only
adult medulloblastoma|N|N|New only
adult pineal gland astrocytoma|N|N|New only
adult respiratory distress syndrome|Y|N|New only
advanced lung cancer|N|N|New only
advanced malignant solid tumors|N|N|Both
advanced renal cell carcinoma|N|N|Both
adverse drug event|N|N|New only
aggressive non-hodgkin lymphoma|N|N|New only
airway inflammation|Y|N|Both
allergic bronchopulmonary aspergillosis|Y|N|New only
allogeneic hematopoietic stem cell transplantation|N|N|New only
alpha-1 antitrypsin deficiency|Y|N|New only
alzheimer's dementia|N|N|New only
ambulation difficulty|N|N|New only
anaplastic ependymoma|N|N|New only
anaplastic thyroid cancer|N|N|New only
anesthesia; adverse effect, spinal and epidural|N|N|New only
anterior cruciate ligament tear|N|N|New only
anterior knee pain syndrome|N|N|New only
anticoagulants|N|N|New only
anticoagulation|N|N|New only
aortic valve replacement|N|N|New only
arthropathy of knee joint|N|N|New only
asperger's syndrome|N|N|New only
atopic eczema|N|N|Both
auditory hallucinations|N|N|New only
autosomal dominant polycystic kidney disease (adpkd)|N|N|New only
b-cell acute lymphoblastic leukemia|N|N|New only
batten disease|N|N|New only
beta thalassemia major|N|N|New only
bone disease|N|N|New only
bone health|N|N|New only
bone mineral density|N|N|New only
bone sarcoma|N|N|New only
bowel preparation for colonoscopy|N|N|New only
bronchospasm|Y|N|Both
bullous pemphigoid|N|N|New only
cardiovascular disease (cvd)|N|N|New only
castrate-resistant prostate cancer|N|N|New only
cervical spinal cord injury|N|N|New only
cervical squamous cell carcinoma|N|N|New only
cervicalgia|N|N|New only
chemotherapy induced nausea and vomiting|N|N|New only
child neglect|N|N|New only
chlamydia trachomatis|N|N|New only
cholangiocarcinoma of the extrahepatic bile duct|N|N|New only
chronic ankle instability|N|N|New only
chronic gastritis|N|N|New only
chronic inflammatory demyelinating polyradiculoneuropathy|N|N|New only
chronic kidney insufficiency|N|N|New only
chronic leukemia|N|N|New only
chronic lymphocytic leukaemia|N|N|New only
chronic pelvic pain|N|N|New only
chronic schizophrenia|N|N|New only
clostridium difficile colitis|N|N|New only
cmv infection|N|N|New only
cocaine use disorders|N|N|New only
cognitive side effects of cancer therapy|N|N|New only
colorectal tumors|N|N|New only
complication, postoperative|N|N|New only
congenital adrenal hyperplasia|N|N|New only
congenital heart defect|N|N|New only
conscious sedation failure during procedure|N|N|New only
coping|N|N|New only
coronary artery bypass graft|N|N|New only
coronary artery bypass graft surgery|N|N|Both
coronary artery bypass graft triple vessel|N|N|New only
coronary artery diseases|N|N|Both
coughing|Y|N|New only
critical limb ischemia (cli)|N|N|New only
crow's feet|N|N|Both
cutaneous abscess|N|N|New only
delayed onset muscle soreness|N|N|New only
delivery of health care|N|N|New only
delusional disorder|N|N|New only
dentin hypersensitivity|N|N|New only
denture stomatitis|N|N|New only
depression, bipolar|N|N|New only
difficult airway|Y|N|New only
diffuse, large b-cell, lymphoma|N|N|New only
disability|N|N|Both
disorders of consciousness|N|N|New only
diverticular disease|N|N|New only
dysplasia|N|N|New only
dysthymia|N|N|New only
